Form,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
1,,,,,,,,,,6,1,4,2,3,5,1,4,,2,2,,2,1,1,,2,1,,37
1-A,,,,,,,,,,23,34,21,30,32,28,26,24,25,20,19,28,55,67,145,125,144,204,256,"1,306"
1-A POS,,,,,,,,,,,,,,,,,,,,,,,3,84,148,196,197,292,920
1-A-W,,,,,,,,,,,,,,,1,,,,,,,,10,31,22,31,41,45,181
1-A-W/A,,,,,,,,,,,,,,,,,,,,,,,4,8,1,2,4,4,23
1-A/A,,,,,,,,,,100,54,67,45,57,89,60,60,65,54,82,76,105,137,347,353,384,443,611,"3,189"
1-E,,,,,,,,,,5,11,42,41,11,11,8,1,2,,,3,1,1,,,,,,137
1-E AD,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2
1-E/A,,,,,,,,,,,3,12,15,12,11,12,2,,1,,,,1,2,1,,,,72
1-K,,,,,,,,,,,,,,,,,,,,,,,,13,59,87,109,155,423
1-K/A,,,,,,,,,,,,,,,,,,,,,,,,1,7,4,9,11,32
1-SA,,,,,,,,,,,,,,,,,,,,,,,,34,76,102,120,185,517
1-SA/A,,,,,,,,,,,,,,,,,,,,,,,,3,6,7,3,9,28
1-U,,,,,,,,,,,,,,,,,,,,,,,3,80,208,356,512,706,"1,865"
1-U/A,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,6,2,16
1-Z,,,,,,,,,,,,,,,,,,,,,,,5,9,24,24,22,25,109
1-Z-W,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2
1-Z/A,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,4
1/A,,,,,,,,,,1,,,2,1,,,2,,,31,95,142,205,181,182,208,289,338,"1,677"
10-12B,,4,4,37,37,25,29,29,23,19,31,12,15,19,33,39,21,19,27,22,31,38,45,33,10,25,36,16,679
10-12B/A,,1,2,69,50,44,50,69,48,40,30,30,15,44,69,106,38,64,67,66,70,150,138,151,38,53,42,19,"1,563"
10-12G,,2,3,49,76,94,148,84,58,57,38,43,58,75,63,271,159,225,143,118,103,99,92,87,91,89,100,84,"2,509"
10-12G/A,,4,6,91,146,136,234,235,114,107,80,63,104,116,91,337,274,423,414,262,222,201,134,129,136,156,112,125,"4,452"
10-C,,82,396,745,80,,,,,,,,,,,,,,,,,,,,,,,,"1,303"
10-C/A,,2,12,9,2,,,,,,,,,,,,,,,,,,,,,,,,25
10-D,,,,,,,,,,,,,3,"6,950","8,081","2,412",891,934,"1,775","2,983","4,571","6,035","7,097","7,657","7,586","8,011","8,883","9,381","83,250"
10-D/A,,,,,,,,,,,,,,483,720,370,54,23,20,55,124,84,69,96,125,68,155,162,"2,608"
10-K,4,"1,912","2,218","4,315","6,698","6,930","6,761","6,652","6,248","6,759","8,468","8,567","9,017","8,852","8,574","8,746","9,839","9,165","8,840","8,393","8,105","8,084","7,985","7,589","7,248","7,092","6,923","6,769","196,753"
10-K/A,2,616,933,"1,495","2,152","1,943","1,798","1,530","1,578","2,010","2,021","2,096","2,180","1,510","1,470","1,801","2,320","2,213","1,995","1,840","1,765","1,557","1,258","1,175",931,"1,003",991,914,"43,097"
10-K405,,11,"1,018","1,944","3,201","3,357","3,361","3,217","3,000","2,168",,,,,,,,,,,,,,,,,,,"21,277"
10-K405/A,,5,190,317,538,589,610,483,494,123,,,,,,,,,,,,,,,,,,,"3,349"
10-KSB,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
10-KSB/A,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
10-KT,,1,6,8,18,14,9,12,18,22,25,38,8,19,13,11,11,21,27,23,22,41,22,37,19,28,28,13,514
10-KT/A,,,2,1,5,1,3,1,6,6,6,,3,5,4,3,2,9,9,5,17,8,5,6,3,6,2,7,125
10-Q,7,"6,628","14,120","25,749","28,996","29,239","28,687","28,282","25,997","24,084","21,866","20,872","20,670","20,038","20,047","27,040","27,817","26,550","25,676","24,186","23,250","22,876","22,166","20,609","19,810","19,216","18,485","17,979","610,942"
10-Q/A,,558,"1,692","2,319","2,036","2,135","2,426","1,926","1,722","1,778","1,694","1,704","1,946","1,574","1,065","1,517","2,195","2,060","3,539","3,045","1,829","1,420","1,095",863,733,666,579,499,"44,615"
10-QSB,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,4
10-QSB/A,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
10-QT,,3,9,8,18,12,13,17,12,25,7,5,6,10,7,6,5,4,,5,8,7,7,6,9,6,6,3,224
10-QT/A,,1,2,1,10,3,1,2,,,3,1,,1,,1,,2,1,1,2,,1,1,2,,,,36
10KSB,,1,95,"1,052","2,013","2,001","2,173","2,856","3,199","3,419","3,410","3,557","3,458","3,399","3,513","2,686",80,,,,,,,,,,,,"36,912"
10KSB/A,,,63,494,713,582,518,724,833,858,"1,024",955,"1,380","1,382","1,009","1,284",90,,,,,,,,,,,,"11,909"
10KSB40,,,24,213,540,532,547,661,617,307,,,,,,,,,,,,,,,,,,,"3,441"
10KSB40/A,,,7,42,103,129,110,98,116,20,,,,,,,,,,,,,,,,,,,625
10KT405,,,3,14,8,7,10,12,20,12,,,,,,,,,,,,,,,,,,,86
10KT405/A,,,3,6,3,1,1,2,1,,,,,,,,,,,,,,,,,,,,17
10QSB,,15,"1,297","5,670","7,448","7,455","8,419","11,619","11,581","11,160","10,348","10,671","10,209","10,191","10,703","3,334",,,,,,,,,,,,,"120,120"
10QSB/A,,1,198,884,984,805,883,"1,325","1,428","1,464","1,527","1,355","1,840","2,051","1,585",787,,,,,,,,,,,,,"17,117"
10SB12B,,,,9,12,5,22,12,11,7,3,5,12,13,6,2,,,,,,,,,,,,,119
10SB12B/A,,,,6,8,8,31,31,25,3,3,,1,4,4,,,,,,,,,,,,,,124
10SB12G,,,,71,113,175,"1,048","1,140",348,230,109,138,170,233,274,56,,,,,,,,,,,,,"4,105"
10SB12G/A,,,,79,167,167,"1,037","1,672",694,480,282,184,250,235,253,23,,,,,,,,,,,,,"5,523"
11-K,,811,611,809,949,"1,127","1,264","1,411","1,550","2,412","2,476","2,369","2,251","2,162","2,058","1,913","1,824","1,711","1,626","1,569","1,508","1,436","1,381","1,310","1,225","1,143","1,078","1,046","41,030"
11-K/A,,37,22,21,26,34,38,33,25,47,95,129,45,43,44,42,45,30,30,25,16,13,58,19,14,22,11,17,981
11-KT,1,4,1,6,14,5,5,1,5,5,10,2,3,8,3,5,,2,1,2,2,2,1,1,2,,1,1,93
11-KT/A,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,2
12G3-2B,,,,,,,,3,9,66,66,86,92,109,100,78,,,,,,,,,,,,,609
12G32BR,,,,,,,,,7,32,45,26,25,24,15,4,,,,,,,,,,,,,178
13F-E,,193,232,222,212,252,77,,,,,,,,,,,,,,,,,,,,,,"1,188"
13F-E/A,,5,28,7,15,25,40,,,,,,,,,,,,,,,,,,,,,,120
13F-HR,4,4,8,5,8,34,"5,079","7,428","8,180","8,212","8,416","8,821","9,550","10,418","11,301","12,299","11,996","11,687","12,630","13,246","13,829","15,239","16,562","17,034","17,625","19,179","20,413","21,798","281,005"
13F-HR/A,,,,3,1,,474,770,979,"1,074","1,055","1,228","1,199","1,353","1,435","1,803","1,109","1,234","1,525","1,264","1,300",949,"1,278","1,022","1,026","1,041","1,102",974,"25,198"
13F-NT,,,,,,,968,"1,657","1,811","1,941","2,194","2,397","2,795","3,215","3,678","4,223","4,371","4,822","5,026","5,098","5,535","5,586","6,049","6,010","6,087","6,253","6,308","6,148","92,172"
13F-NT/A,,,,,,,27,37,44,100,134,182,100,125,112,115,122,57,74,109,84,16,45,41,71,25,122,56,"1,798"
13FCONP,6,5,4,10,13,18,33,92,145,143,133,103,85,41,70,99,72,43,118,20,1,,,1,,1,1,,"1,257"
13FCONP/A,,4,10,12,15,20,15,5,2,,6,1,,,,,,,,,,,,,,,,,90
144,,,,9,32,127,107,128,99,193,775,"1,060",930,"1,082","1,200",687,672,773,790,829,988,856,530,483,550,456,424,378,"14,158"
144/A,,,,,6,50,14,24,11,8,25,37,42,38,49,13,14,34,18,12,19,24,12,7,19,8,31,18,533
15-12B,,8,23,49,122,201,208,207,213,179,188,209,205,262,312,178,209,224,214,207,253,227,290,278,272,273,270,252,"5,533"
