,Name,Number,Rarity,Details,Quantity,Price,Junk,set
0,Name,Number,,Details,#,$,,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
1,"Ashiok, Nightmare Muse",,Mythic,Near Mint Normal English,10,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
2,"Ashiok, Nightmare Muse",,Mythic,Near Mint Foil English,2,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
3,"Athreos, Shroud-Veiled",,Mythic,Near Mint Foil English,2,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
4,"Athreos, Shroud-Veiled",,Mythic,Near Mint Normal English,4,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
5,"Borderless Ashiok, Nightmare Muse",,Mythic,Near Mint Foil English,4,3.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
6,"Borderless Ashiok, Nightmare Muse",,Mythic,Near Mint Normal English,3,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
7,"Borderless Calix, Destiny's Hand",,Mythic,Near Mint Normal English,3,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
8,"Borderless Calix, Destiny's Hand",,Mythic,Near Mint Foil English,2,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
9,"Calix, Destiny's Hand",,Mythic,Near Mint Foil English,2,0.75,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
10,"Calix, Destiny's Hand",,Mythic,Near Mint Normal English,6,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
11,Destiny Spinner,,Uncommon,Near Mint Foil English,2,3.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
12,Destiny Spinner,,Uncommon,Near Mint Normal English,8,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
13,Dryad of the Ilysian Grove,,Rare,Near Mint Normal English,8,9.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
14,Dryad of the Ilysian Grove,,Rare,Near Mint Foil English,4,9.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
15,"Elspeth, Sun's Nemesis",,Mythic,Near Mint Normal English,2,0.25,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
